# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/81841b21-3124-4bba-b3f3-563705705a5b/treatment
#
# total peaks = 16799
# peak size = 500
# peaks found using tags on both strands
# minimum distance between peaks = 1000
# fragment length = 182
# genome size = 2000000000
# Total tags = 1635265.0
# Total tags in peaks = 549406.0
# Approximate IP efficiency = 33.60%
# tags per bp = 0.000800
# expected tags per peak = 0.400
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 4.0
# number of putative peaks = 126776
#
# input tag directory = /home/81841b21-3124-4bba-b3f3-563705705a5b/control
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 6
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks /home/81841b21-3124-4bba-b3f3-563705705a5b/treatment -o /home/81841b21-3124-4bba-b3f3-563705705a5b/module_out/mouse_heart_H3K4me3_rep2.homer.txt -i /home/81841b21-3124-4bba-b3f3-563705705a5b/control -style histone
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
chr3-4219	chr3	36570324	36572103	+	287.4	1779.000	6.000000	47.0	0.8	56.64	2.61e-64	0.90
chr3-2006	chr3	37639810	37641664	+	287.4	1854.000	13.000000	47.0	2.5	18.88	1.39e-42	0.91
chr3-3257	chr3	96629233	96631091	+	287.4	1858.000	9.000000	47.0	1.7	28.32	1.66e-50	0.93
chr3-3621	chr3	96904485	96905898	+	287.4	1413.000	8.000000	47.0	0.4	113.29	2.81e-78	0.94
chr3-2663	chr3	116507112	116508328	+	287.4	1216.000	11.000000	47.0	0.8	56.64	2.61e-64	0.97
chr3-3316	chr3	116711439	116712926	+	287.4	1487.000	9.000000	47.0	0.4	113.29	2.81e-78	1.01
chr3-3363	chr3	145648386	145650399	+	287.4	2013.000	9.000000	47.0	0.8	56.64	2.61e-64	0.92
chr4-5105	chr4	34881668	34883419	+	287.4	1751.000	7.000000	47.0	2.5	18.88	1.39e-42	0.98
chr4-3828	chr4	40278446	40280064	+	287.4	1618.000	10.000000	47.0	0.8	56.64	2.61e-64	0.98
chr4-672	chr4	108619428	108620805	+	287.4	1377.000	24.000000	47.0	0.8	56.64	2.61e-64	1.03
chr4-6490	chr4	116685095	116687135	+	287.4	2040.000	5.000000	47.0	0.4	113.29	2.81e-78	0.93
chr4-2086	chr4	126677122	126678633	+	287.4	1511.000	16.000000	47.0	0.4	113.29	2.81e-78	1.07
chr4-5356	chr4	130106963	130108518	+	287.4	1555.000	7.000000	47.0	0.4	113.29	2.81e-78	0.94
chr4-4093	chr4	135351891	135353406	+	287.4	1515.000	10.000000	47.0	2.5	18.88	1.39e-42	0.94
chr4-6723	chr4	136246825	136249198	+	287.4	2373.000	5.000000	47.0	0.8	56.64	2.61e-64	0.92
chr4-1882	chr4	137387732	137389380	+	287.4	1648.000	17.000000	47.0	0.8	56.64	2.61e-64	1.04
chr5-1876	chr5	33982996	33984466	+	287.4	1470.000	17.000000	47.0	0.8	56.64	2.61e-64	1.04
chr5-1480	chr5	105415373	105416789	+	287.4	1416.000	19.000000	47.0	1.7	28.32	1.66e-50	0.94
chr5-4913	chr5	110779616	110780913	+	287.4	1297.000	8.000000	47.0	2.5	18.88	1.39e-42	0.97
chr5-2202	chr5	112342475	112343748	+	287.4	1273.000	16.000000	47.0	1.7	28.32	1.66e-50	0.93
chr5-5968	chr5	119670981	119673943	+	287.4	2962.000	6.000000	47.0	2.5	18.88	1.39e-42	0.75
chr5-3737	chr5	131306335	131308229	+	287.4	1894.000	11.000000	47.0	2.5	18.88	1.39e-42	0.99
chr5-3744	chr5	134551457	134553371	+	287.4	1914.000	11.000000	47.0	1.7	28.32	1.66e-50	0.92
chr5-5573	chr5	139149879	139151284	+	287.4	1405.000	7.000000	47.0	0.4	113.29	2.81e-78	1.10
chr6-987	chr6	29526501	29528908	+	287.4	2407.000	18.000000	47.0	0.4	113.29	2.81e-78	0.88
chr6-3079	chr6	72787737	72789477	+	287.4	1740.000	9.000000	47.0	0.8	56.64	2.61e-64	0.92
chr6-3431	chr6	83032488	83034653	+	287.4	2165.000	8.000000	47.0	0.8	56.64	2.61e-64	0.99
chr6-2526	chr6	97616538	97618058	+	287.4	1520.000	11.000000	47.0	0.8	56.64	2.61e-64	0.94
chr6-4422	chr6	120492347	120494336	+	287.4	1989.000	6.000000	47.0	0.8	56.64	2.61e-64	0.92
chr6-2573	chr6	122339013	122340773	+	287.4	1760.000	11.000000	47.0	0.8	56.64	2.61e-64	0.92
chr6-4013	chr6	140423542	140425438	+	287.4	1896.000	7.000000	47.0	0.4	113.29	2.81e-78	0.99
chr6-3632	chr6	146724667	146726308	+	287.4	1641.000	8.000000	47.0	0.8	56.64	2.61e-64	0.98
chr7-3384	chr7	6154789	6156302	+	287.4	1513.000	11.000000	47.0	1.7	28.32	1.66e-50	0.93
chr7-2379	chr7	25236926	25238828	+	287.4	1902.000	14.000000	47.0	5.0	9.44	1.72e-29	0.99
chr7-4908	chr7	28377627	28379765	+	287.4	2138.000	8.000000	47.0	2.5	18.88	1.39e-42	0.90
chr7-2471	chr7	46919026	46920645	+	287.4	1619.000	14.000000	47.0	4.1	11.33	7.36e-33	0.93
chr7-1683	chr7	84409445	84410570	+	287.4	1125.000	17.000000	47.0	0.4	113.29	2.81e-78	0.94
chr7-1944	chr7	101969743	101971249	+	287.4	1506.000	16.000000	47.0	2.5	18.88	1.39e-42	0.93
chr7-4671	chr7	120842626	120844242	+	287.4	1616.000	9.000000	47.0	0.8	56.64	2.61e-64	0.93
chr7-1309	chr7	126376730	126378273	+	287.4	1543.000	19.000000	47.0	2.5	18.88	1.39e-42	0.92
chr7-3719	chr7	127587684	127589446	+	287.4	1762.000	11.000000	47.0	0.8	56.64	2.61e-64	0.85
chr7-2295	chr7	128297280	128298414	+	287.4	1134.000	15.000000	47.0	1.7	28.32	1.66e-50	0.94
chr7-2953	chr7	130645719	130647486	+	287.4	1767.000	13.000000	47.0	0.8	56.64	2.61e-64	0.91
chr7-2022	chr7	137437535	137438826	+	287.4	1291.000	16.000000	47.0	0.4	113.29	2.81e-78	0.94
chr8-3205	chr8	3620295	3622190	+	287.4	1895.000	10.000000	47.0	1.7	28.32	1.66e-50	0.92
chr8-5272	chr8	13675888	13678067	+	287.4	2179.000	5.000000	47.0	1.7	28.32	1.66e-50	0.92
chr8-4336	chr8	18594757	18596230	+	287.4	1473.000	7.000000	47.0	1.7	28.32	1.66e-50	0.98
chr8-1917	chr8	18845839	18847304	+	287.4	1465.000	15.000000	47.0	0.8	56.64	2.61e-64	0.98
chr8-4840	chr8	40307163	40308793	+	287.4	1630.000	6.000000	47.0	2.5	18.88	1.39e-42	0.94
chr8-2964	chr8	47712971	47715232	+	287.4	2261.000	11.000000	47.0	0.8	56.64	2.61e-64	0.75
chr8-4398	chr8	48842514	48844506	+	287.4	1992.000	7.000000	47.0	3.3	14.16	4.62e-37	1.10
chr8-4114	chr8	71468923	71470370	+	287.4	1447.000	8.000000	47.0	1.7	28.32	1.66e-50	0.94
chr8-4132	chr8	79710574	79712386	+	287.4	1812.000	8.000000	47.0	0.8	56.64	2.61e-64	0.92
chr8-5084	chr8	104441646	104443190	+	287.4	1544.000	6.000000	47.0	0.8	56.64	2.61e-64	0.98
chr8-3881	chr8	119394344	119395818	+	287.4	1474.000	9.000000	47.0	0.4	113.29	2.81e-78	0.98
chr8-3501	chr8	119839294	119841448	+	287.4	2154.000	10.000000	47.0	0.8	56.64	2.61e-64	0.98
chr8-2094	chr8	123224255	123225722	+	287.4	1467.000	15.000000	47.0	1.7	28.32	1.66e-50	0.98
chr8-3932	chr8	124231277	124233074	+	287.4	1797.000	9.000000	47.0	0.8	56.64	2.61e-64	0.93
chr9-1692	chr9	24502343	24504143	+	287.4	1800.000	16.000000	47.0	0.4	113.29	2.81e-78	0.90
chr9-1931	chr9	35266994	35268659	+	287.4	1665.000	15.000000	47.0	1.7	28.32	1.66e-50	0.92
chr9-4959	chr9	41579599	41582545	+	287.4	2946.000	6.000000	47.0	0.8	56.64	2.61e-64	0.87
chr9-2214	chr9	45954249	45955671	+	287.4	1422.000	14.000000	47.0	0.8	56.64	2.61e-64	0.97
chr9-4617	chr9	66974279	66975790	+	287.4	1511.000	7.000000	47.0	0.8	56.64	2.61e-64	1.01
chr9-4239	chr9	83833966	83835650	+	287.4	1684.000	8.000000	47.0	1.7	28.32	1.66e-50	0.98
chr9-3500	chr9	96630449	96631861	+	287.4	1412.000	10.000000	47.0	1.7	28.32	1.66e-50	1.01
chr9-3181	chr9	102834686	102835888	+	287.4	1202.000	11.000000	47.0	3.3	14.16	4.62e-37	0.94
chr9-5281	chr9	108783046	108784871	+	287.4	1825.000	6.000000	47.0	0.8	56.64	2.61e-64	1.10
chr9-1880	chr9	122117177	122118548	+	287.4	1371.000	16.000000	47.0	0.8	56.64	2.61e-64	0.94
chr9-2680	chr9	123259437	123261089	+	287.4	1652.000	13.000000	47.0	0.8	56.64	2.61e-64	0.94
chr10-1214	chr10	34018839	34020641	+	287.4	1802.000	18.000000	47.0	0.8	56.64	2.61e-64	0.99
chr10-3325	chr10	63337467	63339664	+	287.4	2197.000	9.000000	47.0	0.8	56.64	2.61e-64	0.91
chr10-4126	chr10	75858710	75860422	+	287.4	1712.000	7.000000	47.0	0.4	113.29	2.81e-78	0.92
chr10-1258	chr10	77032484	77034214	+	287.4	1730.000	18.000000	47.0	2.5	18.88	1.39e-42	0.93
chr10-4204	chr10	80917223	80918519	+	287.4	1296.000	7.000000	47.0	0.8	56.64	2.61e-64	0.94
chr10-2115	chr10	86778391	86780186	+	287.4	1795.000	14.000000	47.0	0.8	56.64	2.61e-64	0.93
chr10-701	chr10	91082136	91083800	+	287.4	1664.000	22.000000	47.0	0.4	113.29	2.81e-78	0.90
chr10-1327	chr10	100015408	100016915	+	287.4	1507.000	18.000000	47.0	1.7	28.32	1.66e-50	0.98
chr10-634	chr10	121586062	121587283	+	287.4	1221.000	23.000000	47.0	0.8	56.64	2.61e-64	0.98
chr11-2011	chr11	5955536	5956800	+	287.4	1264.000	18.000000	47.0	0.8	56.64	2.61e-64	0.97
chr11-3678	chr11	6266658	6268619	+	287.4	1961.000	13.000000	47.0	1.7	28.32	1.66e-50	0.93
chr11-5061	chr11	12035545	12038316	+	287.4	2771.000	10.000000	47.0	0.8	56.64	2.61e-64	0.91
chr11-4177	chr11	57829098	57832193	+	287.4	3095.000	12.000000	47.0	1.7	28.32	1.66e-50	0.87
chr11-8580	chr11	59947458	59949281	+	287.4	1823.000	5.000000	47.0	0.8	56.64	2.61e-64	1.03
chr11-3403	chr11	62602681	62604307	+	287.4	1626.000	14.000000	47.0	2.5	18.88	1.39e-42	0.93
chr11-7056	chr11	69680876	69682598	+	287.4	1722.000	7.000000	47.0	0.8	56.64	2.61e-64	0.94
chr11-2415	chr11	74521835	74523558	+	287.4	1723.000	17.000000	47.0	0.8	56.64	2.61e-64	0.92
chr11-7090	chr11	74649098	74650826	+	287.4	1728.000	7.000000	47.0	0.4	113.29	2.81e-78	0.94
chr11-3868	chr11	80141493	80142755	+	287.4	1262.000	13.000000	47.0	1.7	28.32	1.66e-50	0.94
chr11-8951	chr11	94676156	94677775	+	287.4	1619.000	5.000000	47.0	0.8	56.64	2.61e-64	0.98
chr11-5387	chr11	95336747	95337898	+	287.4	1151.000	10.000000	47.0	0.8	56.64	2.61e-64	0.99
chr11-4868	chr11	100526700	100528848	+	287.4	2148.000	11.000000	47.0	2.5	18.88	1.39e-42	0.99
chr11-9102	chr11	101252702	101254557	+	287.4	1855.000	5.000000	47.0	0.4	113.29	2.81e-78	0.99
chr11-8227	chr11	116272858	116274704	+	287.4	1846.000	6.000000	47.0	1.7	28.32	1.66e-50	0.97
chr12-1770	chr12	21416200	21418326	+	287.4	2126.000	12.000000	47.0	0.4	113.29	2.81e-78	0.92
chr12-2016	chr12	51347703	51349549	+	287.4	1846.000	11.000000	47.0	2.5	18.88	1.39e-42	0.93
chr12-2489	chr12	69356219	69357726	+	287.4	1507.000	9.000000	47.0	0.8	56.64	2.61e-64	0.98
chr12-3746	chr12	73044066	73046885	+	287.4	2819.000	5.000000	47.0	3.3	14.16	4.62e-37	0.99
chr12-2322	chr12	84450317	84452340	+	287.4	2023.000	10.000000	47.0	2.5	18.88	1.39e-42	0.91
chr12-666	chr12	84970095	84971669	+	287.4	1574.000	20.000000	47.0	3.3	14.16	4.62e-37	1.05
chr12-229	chr12	103425036	103426160	+	287.4	1124.000	27.000000	47.0	0.4	113.29	2.81e-78	1.00
chr12-1359	chr12	111166014	111167463	+	287.4	1449.000	15.000000	47.0	1.7	28.32	1.66e-50	0.94
chr12-3505	chr12	113013610	113015601	+	287.4	1991.000	6.000000	47.0	0.8	56.64	2.61e-64	0.93
chr13-3216	chr13	12460423	12462230	+	287.4	1807.000	7.000000	47.0	2.5	18.88	1.39e-42	0.94
chr13-3264	chr13	22019688	22022442	+	287.4	2754.000	7.000000	47.0	4.1	11.33	7.36e-33	0.67
chr13-3007	chr13	41605055	41606935	+	287.4	1880.000	8.000000	47.0	1.7	28.32	1.66e-50	0.99
chr13-3409	chr13	56702785	56704657	+	287.4	1872.000	7.000000	47.0	2.5	18.88	1.39e-42	0.91
chr13-2793	chr13	73603217	73604808	+	287.4	1591.000	9.000000	47.0	3.3	14.16	4.62e-37	0.93
chr13-3472	chr13	74349038	74351004	+	287.4	1966.000	7.000000	47.0	1.7	28.32	1.66e-50	0.92
chr13-2805	chr13	77134362	77136106	+	287.4	1744.000	9.000000	47.0	1.7	28.32	1.66e-50	0.94
chr13-684	chr13	97137370	97139084	+	287.4	1714.000	20.000000	47.0	0.4	113.29	2.81e-78	0.93
chr14-2873	chr14	37134181	37135934	+	287.4	1753.000	7.000000	47.0	1.7	28.32	1.66e-50	1.06
chr14-1234	chr14	54360631	54361867	+	287.4	1236.000	15.000000	47.0	0.4	113.29	2.81e-78	0.97
chr14-3230	chr14	54426032	54427509	+	287.4	1477.000	6.000000	47.0	5.0	9.44	1.72e-29	0.92
chr14-2706	chr14	65096889	65098432	+	287.4	1543.000	8.000000	47.0	0.8	56.64	2.61e-64	0.97
chr14-1608	chr14	76010020	76011522	+	287.4	1502.000	13.000000	47.0	0.8	56.64	2.61e-64	1.01
chr14-658	chr14	77156305	77157846	+	287.4	1541.000	20.000000	47.0	0.4	113.29	2.81e-78	0.99
chr15-1114	chr15	30172258	30174224	+	287.4	1966.000	16.000000	47.0	1.7	28.32	1.66e-50	0.98
chr15-285	chr15	59373670	59375084	+	287.4	1414.000	25.000000	47.0	0.4	113.29	2.81e-78	0.93
chr15-3245	chr15	64311440	64313357	+	287.4	1917.000	7.000000	47.0	1.7	28.32	1.66e-50	0.94
chr15-2187	chr15	76368483	76370077	+	287.4	1594.000	11.000000	47.0	3.3	14.16	4.62e-37	0.94
chr15-3699	chr15	83593709	83595658	+	287.4	1949.000	6.000000	47.0	0.8	56.64	2.61e-64	0.93
chr15-207	chr15	91049071	91050406	+	287.4	1335.000	27.000000	47.0	0.4	113.29	2.81e-78	1.05
chr15-2288	chr15	98144877	98146030	+	287.4	1153.000	11.000000	47.0	0.8	56.64	2.61e-64	0.94
chr15-1611	chr15	99771509	99772884	+	287.4	1375.000	14.000000	47.0	1.7	28.32	1.66e-50	0.94
chr16-1530	chr16	17208317	17210533	+	287.4	2216.000	12.000000	47.0	1.7	28.32	1.66e-50	0.85
chr16-2121	chr16	35982627	35984611	+	287.4	1984.000	9.000000	47.0	2.5	18.88	1.39e-42	0.93
chr17-4344	chr17	24849288	24851111	+	287.4	1823.000	6.000000	47.0	1.7	28.32	1.66e-50	0.91
chr17-577	chr17	24885796	24887972	+	287.4	2176.000	23.000000	47.0	0.8	56.64	2.61e-64	0.92
chr17-2623	chr17	25843701	25844863	+	287.4	1162.000	11.000000	47.0	0.4	113.29	2.81e-78	0.96
chr17-1869	chr17	25874568	25876526	+	287.4	1958.000	14.000000	47.0	0.4	113.29	2.81e-78	0.93
chr17-389	chr17	27203477	27204684	+	287.4	1207.000	26.000000	47.0	1.7	28.32	1.66e-50	0.94
chr17-2156	chr17	35234737	35236649	+	287.4	1912.000	13.000000	47.0	2.5	18.88	1.39e-42	0.87
chr17-3063	chr17	56672645	56674318	+	287.4	1673.000	10.000000	47.0	0.8	56.64	2.61e-64	0.93
chr17-4688	chr17	83512946	83514580	+	287.4	1634.000	6.000000	47.0	0.4	113.29	2.81e-78	0.94
chr18-1507	chr18	10029064	10030390	+	287.4	1326.000	11.000000	47.0	2.5	18.88	1.39e-42	1.00
chr18-1374	chr18	20895476	20897121	+	287.4	1645.000	12.000000	47.0	0.8	56.64	2.61e-64	0.94
chr18-2685	chr18	37954208	37956224	+	287.4	2016.000	6.000000	47.0	1.7	28.32	1.66e-50	0.92
chr18-862	chr18	49832531	49834123	+	287.4	1592.000	16.000000	47.0	1.7	28.32	1.66e-50	0.91
chr18-2769	chr18	64660161	64661897	+	287.4	1736.000	6.000000	47.0	2.5	18.88	1.39e-42	0.93
chr19-1498	chr19	7205121	7206899	+	287.4	1778.000	13.000000	47.0	0.8	56.64	2.61e-64	0.94
chr19-2784	chr19	8712138	8714428	+	287.4	2290.000	7.000000	47.0	0.4	113.29	2.81e-78	0.92
chr19-817	chr19	10868743	10870081	+	287.4	1338.000	18.000000	47.0	0.4	113.29	2.81e-78	0.94
chr19-2810	chr19	11964825	11967154	+	287.4	2329.000	7.000000	47.0	0.8	56.64	2.61e-64	0.99
chr19-2424	chr19	56721495	56724176	+	287.4	2681.000	9.000000	47.0	0.8	56.64	2.61e-64	0.80
chr1-3343	chr1	23256024	23257847	+	281.3	1823.000	10.000000	46.0	0.8	55.44	1.48e-62	0.92
chr1-1703	chr1	54193959	54195549	+	281.3	1590.000	16.000000	46.0	1.7	27.72	4.71e-49	0.92
chr1-1296	chr1	55130995	55132512	+	281.3	1517.000	18.000000	46.0	0.4	110.88	3.19e-76	0.93
chr1-3861	chr1	92640971	92642592	+	281.3	1621.000	9.000000	46.0	0.8	55.44	1.48e-62	0.97
chr1-3496	chr1	95313367	95314705	+	281.3	1338.000	10.000000	46.0	0.8	55.44	1.48e-62	0.94
chr1-805	chr1	155558044	155559434	+	281.3	1390.000	22.000000	46.0	0.8	55.44	1.48e-62	0.93
chr1-4848	chr1	156035166	156037052	+	281.3	1886.000	7.000000	46.0	0.8	55.44	1.48e-62	0.91
chr1-2335	chr1	171345117	171346691	+	281.3	1574.000	14.000000	46.0	2.5	18.48	2.64e-41	0.94
chr2-2358	chr2	11705255	11706789	+	281.3	1534.000	16.000000	46.0	0.4	110.88	3.19e-76	0.94
chr2-2664	chr2	18671877	18673299	+	281.3	1422.000	15.000000	46.0	0.8	55.44	1.48e-62	0.93
chr2-7743	chr2	26963008	26965210	+	281.3	2202.000	5.000000	46.0	5.0	9.24	1.63e-28	0.93
chr2-3019	chr2	29787219	29788886	+	281.3	1667.000	14.000000	46.0	4.1	11.09	8.35e-32	0.89
chr2-4662	chr2	30133140	30134715	+	281.3	1575.000	10.000000	46.0	0.8	55.44	1.48e-62	0.94
chr2-4196	chr2	30827327	30828649	+	281.3	1322.000	11.000000	46.0	0.4	110.88	3.19e-76	0.97
chr2-802	chr2	37442600	37444085	+	281.3	1485.000	24.000000	46.0	0.8	55.44	1.48e-62	0.93
chr2-3063	chr2	37451963	37453252	+	281.3	1289.000	14.000000	46.0	0.4	110.88	3.19e-76	0.97
chr2-4286	chr2	75831866	75833477	+	281.3	1611.000	11.000000	46.0	0.8	55.44	1.48e-62	0.93
chr2-3874	chr2	85036553	85038533	+	281.3	1980.000	12.000000	46.0	1.7	27.72	4.71e-49	0.98
chr2-2470	chr2	90745230	90746887	+	281.3	1657.000	16.000000	46.0	3.3	13.86	6.55e-36	0.92
chr2-2250	chr2	119156102	119157502	+	281.3	1400.000	17.000000	46.0	0.4	110.88	3.19e-76	0.94
chr2-4908	chr2	130563396	130564875	+	281.3	1479.000	10.000000	46.0	0.8	55.44	1.48e-62	0.98
chr2-4428	chr2	132577121	132578669	+	281.3	1548.000	11.000000	46.0	0.4	110.88	3.19e-76	0.94
chr2-4020	chr2	152226553	152227970	+	281.3	1417.000	12.000000	46.0	0.8	55.44	1.48e-62	0.97
chr2-8346	chr2	152828403	152832022	+	281.3	3619.000	5.000000	46.0	1.7	27.72	4.71e-49	0.80
chr2-6071	chr2	154407021	154408509	+	281.3	1488.000	8.000000	46.0	1.7	27.72	4.71e-49	0.98
chr2-6713	chr2	155381082	155383307	+	281.3	2225.000	7.000000	46.0	0.8	55.44	1.48e-62	0.99
chr2-1186	chr2	156311924	156313351	+	281.3	1427.000	22.000000	46.0	2.5	18.48	2.64e-41	1.10
chr2-6758	chr2	165286838	165288480	+	281.3	1642.000	7.000000	46.0	0.8	55.44	1.48e-62	0.94
chr2-8461	chr2	165325413	165327304	+	281.3	1891.000	5.000000	46.0	0.8	55.44	1.48e-62	0.94
chr2-7538	chr2	167014725	167016195	+	281.3	1470.000	6.000000	46.0	1.7	27.72	4.71e-49	0.94
chr2-7544	chr2	167348038	167349858	+	281.3	1820.000	6.000000	46.0	0.8	55.44	1.48e-62	0.98
chr2-6165	chr2	174294189	174296663	+	281.3	2474.000	8.000000	46.0	4.1	11.09	8.35e-32	0.88
chr3-4189	chr3	19894125	19896114	+	281.3	1989.000	6.000000	46.0	0.4	110.88	3.19e-76	0.97
chr3-2819	chr3	58576506	58577844	+	281.3	1338.000	10.000000	46.0	0.4	110.88	3.19e-76	1.04
chr3-610	chr3	86141691	86142746	+	281.3	1055.000	22.000000	46.0	0.8	55.44	1.48e-62	1.03
chr3-3909	chr3	86919401	86921179	+	281.3	1778.000	7.000000	46.0	0.8	55.44	1.48e-62	0.92
chr3-4902	chr3	90212091	90214602	+	281.3	2511.000	5.000000	46.0	2.5	18.48	2.64e-41	0.98
chr3-3595	chr3	94885992	94887220	+	281.3	1228.000	8.000000	46.0	1.7	27.72	4.71e-49	0.94
chr3-3240	chr3	96104084	96105525	+	281.3	1441.000	9.000000	46.0	2.5	18.48	2.64e-41	0.98
chr3-2171	chr3	132949207	132950775	+	281.3	1568.000	13.000000	46.0	0.8	55.44	1.48e-62	0.94
chr3-1161	chr3	135825970	135827777	+	281.3	1807.000	18.000000	46.0	0.4	110.88	3.19e-76	0.91
chr4-3098	chr4	42998932	43000359	+	281.3	1427.000	12.000000	46.0	2.5	18.48	2.64e-41	0.92
chr4-40	chr4	46195815	46196851	+	281.3	1036.000	38.000000	46.0	1.7	27.72	4.71e-49	0.93
chr4-571	chr4	49596996	49598207	+	281.3	1211.000	25.000000	46.0	0.4	110.88	3.19e-76	0.98
chr4-4292	chr4	56945932	56947392	+	281.3	1460.000	9.000000	46.0	0.4	110.88	3.19e-76	0.93
chr4-2533	chr4	57567830	57569831	+	281.3	2001.000	14.000000	46.0	2.5	18.48	2.64e-41	0.90
chr4-1391	chr4	89137215	89138530	+	281.3	1315.000	19.000000	46.0	1.7	27.72	4.71e-49	0.99
chr4-3234	chr4	109676083	109677822	+	281.3	1739.000	12.000000	46.0	0.8	55.44	1.48e-62	0.94
chr4-3655	chr4	131836585	131838517	+	281.3	1932.000	11.000000	46.0	1.7	27.72	4.71e-49	0.88
chr4-4476	chr4	133338213	133339845	+	281.3	1632.000	9.000000	46.0	1.7	27.72	4.71e-49	1.04
chr4-2965	chr4	133813065	133815340	+	281.3	2275.000	13.000000	46.0	3.3	13.86	6.55e-36	0.99
chr4-2380	chr4	135963064	135964786	+	281.3	1722.000	15.000000	46.0	1.7	27.72	4.71e-49	0.93
chr4-3007	chr4	141598356	141600383	+	281.3	2027.000	13.000000	46.0	2.5	18.48	2.64e-41	0.99
chr4-4140	chr4	141789965	141791082	+	281.3	1117.000	10.000000	46.0	2.5	18.48	2.64e-41	0.97
chr5-2886	chr5	9100386	9101694	+	281.3	1308.000	13.000000	46.0	0.8	55.44	1.48e-62	1.03
chr5-88	chr5	24164709	24165741	+	281.3	1032.000	34.000000	46.0	1.7	27.72	4.71e-49	0.94
chr5-5217	chr5	33273465	33275536	+	281.3	2071.000	7.000000	46.0	1.7	27.72	4.71e-49	0.93
chr5-2935	chr5	33781881	33783390	+	281.3	1509.000	13.000000	46.0	0.4	110.88	3.19e-76	0.98
chr5-6365	chr5	44099598	44102091	+	281.3	2493.000	5.000000	46.0	0.4	110.88	3.19e-76	0.93
chr5-1898	chr5	67846486	67848416	+	281.3	1930.000	17.000000	46.0	3.3	13.86	6.55e-36	0.88
chr5-2166	chr5	74092899	74094539	+	281.3	1640.000	16.000000	46.0	2.5	18.48	2.64e-41	0.91
chr5-4834	chr5	75977179	75978839	+	281.3	1660.000	8.000000	46.0	0.8	55.44	1.48e-62	0.93
chr5-4884	chr5	103691893	103693743	+	281.3	1850.000	8.000000	46.0	1.7	27.72	4.71e-49	0.88
chr5-3044	chr5	110978815	110980401	+	281.3	1586.000	13.000000	46.0	1.7	27.72	4.71e-49	0.98
chr5-6024	chr5	123523199	123524823	+	281.3	1624.000	6.000000	46.0	0.8	55.44	1.48e-62	1.05
chr5-6740	chr5	125339164	125341513	+	281.3	2349.000	5.000000	46.0	0.4	110.88	3.19e-76	0.92
chr5-6794	chr5	135148413	135150816	+	281.3	2403.000	5.000000	46.0	0.8	55.44	1.48e-62	0.99
chr5-303	chr5	138441526	138442976	+	281.3	1450.000	29.000000	46.0	0.8	55.44	1.48e-62	0.99
chr5-3164	chr5	149678121	149679641	+	281.3	1520.000	13.000000	46.0	1.7	27.72	4.71e-49	0.94
chr6-622	chr6	35177329	35178466	+	281.3	1137.000	21.000000	46.0	0.4	110.88	3.19e-76	0.98
chr6-3030	chr6	49073532	49074825	+	281.3	1293.000	9.000000	46.0	0.8	55.44	1.48e-62	0.97
chr6-2464	chr6	70843619	70845566	+	281.3	1947.000	11.000000	46.0	0.4	110.88	3.19e-76	0.93
chr6-3442	chr6	83348856	83350411	+	281.3	1555.000	8.000000	46.0	1.7	27.72	4.71e-49	0.94
chr6-3837	chr6	83440356	83442301	+	281.3	1945.000	7.000000	46.0	0.8	55.44	1.48e-62	0.93
chr6-1598	chr6	86683723	86684977	+	281.3	1254.000	15.000000	46.0	0.8	55.44	1.48e-62	0.98
chr6-1830	chr6	124414191	124415863	+	281.3	1672.000	14.000000	46.0	2.5	18.48	2.64e-41	0.98
chr6-3592	chr6	126938578	126940753	+	281.3	2175.000	8.000000	46.0	0.4	110.88	3.19e-76	0.90
chr7-3834	chr7	16738160	16739518	+	281.3	1358.000	10.000000	46.0	0.8	55.44	1.48e-62	0.94
chr7-6823	chr7	19148199	19150617	+	281.3	2418.000	5.000000	46.0	1.7	27.72	4.71e-49	0.75
chr7-6147	chr7	27472496	27474699	+	281.3	2203.000	6.000000	46.0	3.3	13.86	6.55e-36	0.92
chr7-2393	chr7	27552621	27554063	+	281.3	1442.000	14.000000	46.0	1.7	27.72	4.71e-49	0.94
chr7-1396	chr7	28435465	28437158	+	281.3	1693.000	18.000000	46.0	1.7	27.72	4.71e-49	0.85
chr7-6209	chr7	30168689	30170788	+	281.3	2099.000	6.000000	46.0	1.7	27.72	4.71e-49	0.99
chr7-4016	chr7	55961621	55963076	+	281.3	1455.000	10.000000	46.0	0.8	55.44	1.48e-62	0.98
chr7-3142	chr7	66688693	66690644	+	281.3	1951.000	12.000000	46.0	0.4	110.88	3.19e-76	0.85
