# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/0114084d-4a72-4cef-87b7-263e647b74e0/treatment
#
# total peaks = 17438
# peak size = 500
# peaks found using tags on both strands
# minimum distance between peaks = 1000
# fragment length = 172
# genome size = 2000000000
# Total tags = 1490767.0
# Total tags in peaks = 668168.0
# Approximate IP efficiency = 44.82%
# tags per bp = 0.000732
# expected tags per peak = 0.366
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 4.0
# number of putative peaks = 135445
#
# input tag directory = /home/0114084d-4a72-4cef-87b7-263e647b74e0/control
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 3
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks /home/0114084d-4a72-4cef-87b7-263e647b74e0/treatment -o /home/0114084d-4a72-4cef-87b7-263e647b74e0/module_out/mouse_heart_H3K4me3_rep1.homer.txt -i /home/0114084d-4a72-4cef-87b7-263e647b74e0/control -style histone
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
chr2-2541	chr2	132144139	132145746	+	328.7	1607.000	19.000000	49.0	0.4	132.88	6.70e-85	0.93
chr2-9114	chr2	145674514	145676340	+	328.7	1826.000	5.000000	49.0	0.7	66.44	2.61e-70	0.92
chr2-5376	chr2	148680459	148682190	+	328.7	1731.000	11.000000	49.0	2.2	22.15	1.49e-47	0.93
chr2-2852	chr2	150786597	150788420	+	328.7	1823.000	18.000000	49.0	2.2	22.15	1.49e-47	0.92
chr2-4989	chr2	155133391	155134835	+	328.7	1444.000	12.000000	49.0	0.4	132.88	6.70e-85	0.98
chr2-4995	chr2	156420353	156422023	+	328.7	1670.000	12.000000	49.0	0.7	66.44	2.61e-70	0.93
chr2-2892	chr2	166793491	166794862	+	328.7	1371.000	18.000000	49.0	1.5	33.22	7.24e-56	1.01
chr3-3773	chr3	16182822	16184466	+	328.7	1644.000	9.000000	49.0	2.2	22.15	1.49e-47	0.94
chr3-3780	chr3	19644479	19648183	+	328.7	3704.000	9.000000	49.0	3.0	16.61	9.62e-42	0.87
chr3-4460	chr3	19894432	19895778	+	328.7	1346.000	7.000000	49.0	0.7	66.44	2.61e-70	0.94
chr3-4896	chr3	41741344	41743304	+	328.7	1960.000	6.000000	49.0	0.4	132.88	6.70e-85	0.93
chr3-3825	chr3	51357919	51360016	+	328.7	2097.000	9.000000	49.0	1.5	33.22	7.24e-56	0.97
chr3-1327	chr3	53041025	53042507	+	328.7	1482.000	20.000000	49.0	3.0	16.61	9.62e-42	0.93
chr3-3234	chr3	62338628	62340427	+	328.7	1799.000	11.000000	49.0	0.4	132.88	6.70e-85	0.93
chr3-3247	chr3	75555879	75557632	+	328.7	1753.000	11.000000	49.0	0.4	132.88	6.70e-85	1.06
chr3-3914	chr3	89997757	89999348	+	328.7	1591.000	9.000000	49.0	0.7	66.44	2.61e-70	0.94
chr3-2786	chr3	94974514	94975898	+	328.7	1384.000	13.000000	49.0	0.7	66.44	2.61e-70	0.94
chr3-5159	chr3	116506985	116508317	+	328.7	1332.000	6.000000	49.0	0.4	132.88	6.70e-85	0.94
chr3-3113	chr3	127552496	127554466	+	328.7	1970.000	12.000000	49.0	3.7	13.29	2.62e-37	0.93
chr3-4379	chr3	134239002	134241035	+	328.7	2033.000	8.000000	49.0	0.4	132.88	6.70e-85	0.99
chr3-2390	chr3	138741747	138743795	+	328.7	2048.000	15.000000	49.0	1.5	33.22	7.24e-56	0.92
chr4-5357	chr4	6190643	6191798	+	328.7	1155.000	8.000000	49.0	1.5	33.22	7.24e-56	0.97
chr4-6919	chr4	16162731	16164524	+	328.7	1793.000	5.000000	49.0	1.5	33.22	7.24e-56	0.92
chr4-338	chr4	81442228	81443275	+	328.7	1047.000	33.000000	49.0	0.7	66.44	2.61e-70	0.97
chr4-4344	chr4	101646810	101648819	+	328.7	2009.000	11.000000	49.0	1.5	33.22	7.24e-56	0.92
chr4-6085	chr4	117133036	117134531	+	328.7	1495.000	7.000000	49.0	0.7	66.44	2.61e-70	1.00
chr4-5219	chr4	132328552	132330045	+	328.7	1493.000	9.000000	49.0	0.7	66.44	2.61e-70	0.98
chr4-627	chr4	133369765	133372349	+	328.7	2584.000	29.000000	49.0	2.2	22.15	1.49e-47	0.85
chr4-5737	chr4	136461829	136463251	+	328.7	1422.000	8.000000	49.0	3.0	16.61	9.62e-42	0.99
chr4-6278	chr4	149674977	149676524	+	328.7	1547.000	7.000000	49.0	1.5	33.22	7.24e-56	0.94
chr4-4522	chr4	149736904	149738696	+	328.7	1792.000	11.000000	49.0	0.7	66.44	2.61e-70	0.94
chr4-5812	chr4	150854440	150856332	+	328.7	1892.000	8.000000	49.0	0.4	132.88	6.70e-85	0.94
chr5-309	chr5	8622338	8623635	+	328.7	1297.000	33.000000	49.0	0.4	132.88	6.70e-85	0.93
chr5-7030	chr5	36987713	36989635	+	328.7	1922.000	5.000000	49.0	0.4	132.88	6.70e-85	0.97
chr5-2065	chr5	52565429	52566900	+	328.7	1471.000	19.000000	49.0	0.4	132.88	6.70e-85	0.94
chr5-3076	chr5	84416070	84417842	+	328.7	1772.000	15.000000	49.0	1.5	33.22	7.24e-56	0.99
chr5-4301	chr5	100158573	100159907	+	328.7	1334.000	11.000000	49.0	0.4	132.88	6.70e-85	1.00
chr5-6698	chr5	122353879	122355371	+	328.7	1492.000	6.000000	49.0	0.4	132.88	6.70e-85	0.94
chr5-4040	chr5	124115704	124117070	+	328.7	1366.000	12.000000	49.0	0.4	132.88	6.70e-85	0.94
chr5-6788	chr5	137306379	137307949	+	328.7	1570.000	6.000000	49.0	0.7	66.44	2.61e-70	1.01
chr5-2908	chr5	137740519	137742050	+	328.7	1531.000	16.000000	49.0	0.4	132.88	6.70e-85	0.98
chr5-5759	chr5	142894405	142896165	+	328.7	1760.000	8.000000	49.0	3.0	16.61	9.62e-42	1.06
chr5-679	chr5	143269499	143270714	+	328.7	1215.000	29.000000	49.0	0.4	132.88	6.70e-85	0.94
chr5-1578	chr5	143464175	143465367	+	328.7	1192.000	22.000000	49.0	2.2	22.15	1.49e-47	0.94
chr5-256	chr5	144768197	144769665	+	328.7	1468.000	35.000000	49.0	0.4	132.88	6.70e-85	0.90
chr6-3645	chr6	8258389	8260159	+	328.7	1770.000	9.000000	49.0	0.4	132.88	6.70e-85	0.87
chr6-1474	chr6	33059139	33060542	+	328.7	1403.000	18.000000	49.0	1.5	33.22	7.24e-56	0.98
chr6-792	chr6	35538973	35540125	+	328.7	1152.000	23.000000	49.0	2.2	22.15	1.49e-47	0.94
chr6-3707	chr6	41604296	41606385	+	328.7	2089.000	9.000000	49.0	0.7	66.44	2.61e-70	0.99
chr6-4351	chr6	47920200	47922137	+	328.7	1937.000	7.000000	49.0	0.7	66.44	2.61e-70	0.92
chr6-4105	chr6	73247953	73249620	+	328.7	1667.000	8.000000	49.0	1.5	33.22	7.24e-56	0.98
chr6-3166	chr6	83101249	83102739	+	328.7	1490.000	11.000000	49.0	1.5	33.22	7.24e-56	0.98
chr6-1359	chr6	83108711	83110255	+	328.7	1544.000	19.000000	49.0	1.5	33.22	7.24e-56	0.94
chr6-1904	chr6	83440668	83442620	+	328.7	1952.000	16.000000	49.0	1.5	33.22	7.24e-56	0.91
chr6-2654	chr6	86370868	86372571	+	328.7	1703.000	13.000000	49.0	0.4	132.88	6.70e-85	0.98
chr6-124	chr6	87914037	87915065	+	328.7	1028.000	35.000000	49.0	3.0	16.61	9.62e-42	0.94
chr6-3516	chr6	100833277	100835023	+	328.7	1746.000	10.000000	49.0	2.2	22.15	1.49e-47	1.02
chr6-3862	chr6	113482271	113484326	+	328.7	2055.000	9.000000	49.0	1.5	33.22	7.24e-56	0.80
chr6-5087	chr6	134829139	134830851	+	328.7	1712.000	6.000000	49.0	0.7	66.44	2.61e-70	0.91
chr6-2775	chr6	145047379	145049365	+	328.7	1986.000	13.000000	49.0	0.4	132.88	6.70e-85	0.93
chr7-2361	chr7	4149051	4150557	+	328.7	1506.000	17.000000	49.0	0.7	66.44	2.61e-70	0.92
chr7-4361	chr7	16875075	16877178	+	328.7	2103.000	11.000000	49.0	0.7	66.44	2.61e-70	0.88
chr7-5768	chr7	17026477	17028227	+	328.7	1750.000	8.000000	49.0	0.7	66.44	2.61e-70	0.98
chr7-3956	chr7	19308023	19310657	+	328.7	2634.000	12.000000	49.0	1.5	33.22	7.24e-56	0.92
chr7-1323	chr7	19603769	19604837	+	328.7	1068.000	22.000000	49.0	1.5	33.22	7.24e-56	0.99
chr7-3636	chr7	29179588	29180722	+	328.7	1134.000	13.000000	49.0	0.7	66.44	2.61e-70	1.01
chr7-5352	chr7	30321444	30323124	+	328.7	1680.000	9.000000	49.0	3.0	16.61	9.62e-42	0.94
chr7-6466	chr7	34131846	34133761	+	328.7	1915.000	7.000000	49.0	2.2	22.15	1.49e-47	1.03
chr7-5370	chr7	35333198	35335428	+	328.7	2230.000	9.000000	49.0	1.5	33.22	7.24e-56	0.91
chr7-7848	chr7	38018321	38019871	+	328.7	1550.000	5.000000	49.0	1.5	33.22	7.24e-56	0.94
chr7-8009	chr7	68747999	68749990	+	328.7	1991.000	5.000000	49.0	0.7	66.44	2.61e-70	0.97
chr7-7296	chr7	80231711	80233688	+	328.7	1977.000	6.000000	49.0	3.0	16.61	9.62e-42	0.88
chr7-3392	chr7	80534258	80535825	+	328.7	1567.000	14.000000	49.0	1.5	33.22	7.24e-56	0.93
chr7-2236	chr7	80687830	80689512	+	328.7	1682.000	18.000000	49.0	2.2	22.15	1.49e-47	0.93
chr7-2246	chr7	83631564	83633562	+	328.7	1998.000	18.000000	49.0	1.5	33.22	7.24e-56	0.88
chr7-3415	chr7	96951226	96952435	+	328.7	1209.000	14.000000	49.0	0.7	66.44	2.61e-70	0.94
chr7-5547	chr7	100926544	100929373	+	328.7	2829.000	9.000000	49.0	0.7	66.44	2.61e-70	0.91
chr7-4666	chr7	126928249	126929815	+	328.7	1566.000	11.000000	49.0	0.7	66.44	2.61e-70	0.97
chr7-412	chr7	127421509	127422574	+	328.7	1065.000	31.000000	49.0	2.2	22.15	1.49e-47	0.98
chr8-3884	chr8	34107454	34109028	+	328.7	1574.000	10.000000	49.0	1.5	33.22	7.24e-56	0.94
chr8-3910	chr8	47412404	47414362	+	328.7	1958.000	10.000000	49.0	0.7	66.44	2.61e-70	0.94
chr8-312	chr8	71611102	71612404	+	328.7	1302.000	32.000000	49.0	0.7	66.44	2.61e-70	0.93
chr8-3684	chr8	74993482	74995131	+	328.7	1649.000	11.000000	49.0	0.7	66.44	2.61e-70	0.98
chr8-2622	chr8	83652446	83653998	+	328.7	1552.000	15.000000	49.0	2.2	22.15	1.49e-47	0.94
chr8-1462	chr8	84065944	84067597	+	328.7	1653.000	21.000000	49.0	0.7	66.44	2.61e-70	0.91
chr8-6122	chr8	85363388	85365683	+	328.7	2295.000	5.000000	49.0	0.7	66.44	2.61e-70	0.91
chr8-2672	chr8	104508971	104510176	+	328.7	1205.000	15.000000	49.0	0.4	132.88	6.70e-85	0.97
chr8-4457	chr8	120588266	120590167	+	328.7	1901.000	9.000000	49.0	0.7	66.44	2.61e-70	0.99
chr9-5055	chr9	7763593	7765040	+	328.7	1447.000	7.000000	49.0	3.0	16.61	9.62e-42	0.94
chr9-4339	chr9	23222278	23224064	+	328.7	1786.000	9.000000	49.0	1.5	33.22	7.24e-56	0.93
chr9-1950	chr9	35267053	35268801	+	328.7	1748.000	18.000000	49.0	0.4	132.88	6.70e-85	0.93
chr9-5150	chr9	40191803	40193351	+	328.7	1548.000	7.000000	49.0	1.5	33.22	7.24e-56	0.94
chr9-1652	chr9	73112984	73114426	+	328.7	1442.000	20.000000	49.0	0.7	66.44	2.61e-70	0.94
chr9-4905	chr9	79792477	79794217	+	328.7	1740.000	8.000000	49.0	1.5	33.22	7.24e-56	0.91
chr9-2490	chr9	98032013	98033785	+	328.7	1772.000	16.000000	49.0	0.7	66.44	2.61e-70	0.98
chr9-4994	chr9	108936359	108937806	+	328.7	1447.000	8.000000	49.0	2.2	22.15	1.49e-47	1.01
chr9-3898	chr9	110407088	110408880	+	328.7	1792.000	11.000000	49.0	2.2	22.15	1.49e-47	0.98
chr9-1540	chr9	119444803	119445903	+	328.7	1100.000	21.000000	49.0	0.7	66.44	2.61e-70	0.94
chr10-1882	chr10	43539939	43541274	+	328.7	1335.000	17.000000	49.0	1.5	33.22	7.24e-56	1.01
chr10-5593	chr10	61977005	61979490	+	328.7	2485.000	5.000000	49.0	3.0	16.61	9.62e-42	0.92
chr10-4303	chr10	67535326	67538091	+	328.7	2765.000	8.000000	49.0	2.2	22.15	1.49e-47	0.93
chr10-3065	chr10	75858809	75860246	+	328.7	1437.000	12.000000	49.0	1.5	33.22	7.24e-56	0.94
chr10-1152	chr10	79916173	79917365	+	328.7	1192.000	22.000000	49.0	1.5	33.22	7.24e-56	0.94
chr10-5701	chr10	80405513	80407697	+	328.7	2184.000	5.000000	49.0	1.5	33.22	7.24e-56	0.93
chr10-2161	chr10	85956779	85958101	+	328.7	1322.000	16.000000	49.0	0.7	66.44	2.61e-70	0.94
chr10-3487	chr10	116472879	116474787	+	328.7	1908.000	11.000000	49.0	0.4	132.88	6.70e-85	0.92
chr10-1826	chr10	128193842	128195566	+	328.7	1724.000	18.000000	49.0	0.7	66.44	2.61e-70	0.93
chr10-1662	chr10	128673408	128674815	+	328.7	1407.000	19.000000	49.0	1.5	33.22	7.24e-56	0.98
chr11-6481	chr11	3912477	3914679	+	328.7	2202.000	9.000000	49.0	1.5	33.22	7.24e-56	0.98
chr11-5098	chr11	47988053	47989616	+	328.7	1563.000	12.000000	49.0	0.7	66.44	2.61e-70	0.94
chr11-3242	chr11	52396226	52397337	+	328.7	1111.000	17.000000	49.0	0.7	66.44	2.61e-70	0.97
chr11-1885	chr11	59809348	59810829	+	328.7	1481.000	22.000000	49.0	2.2	22.15	1.49e-47	0.93
chr11-3921	chr11	60912906	60914209	+	328.7	1303.000	15.000000	49.0	3.0	16.61	9.62e-42	0.97
chr11-2704	chr11	69765670	69767123	+	328.7	1453.000	19.000000	49.0	0.4	132.88	6.70e-85	0.98
chr11-3970	chr11	72441085	72442530	+	328.7	1445.000	15.000000	49.0	0.7	66.44	2.61e-70	0.94
chr11-10624	chr11	73047453	73048936	+	328.7	1483.000	4.000000	49.0	1.5	33.22	7.24e-56	0.97
chr11-4823	chr11	76945252	76946768	+	328.7	1516.000	13.000000	49.0	1.5	33.22	7.24e-56	0.94
chr11-9554	chr11	80079612	80081393	+	328.7	1781.000	5.000000	49.0	0.7	66.44	2.61e-70	0.98
chr11-1956	chr11	86806938	86808149	+	328.7	1211.000	22.000000	49.0	0.7	66.44	2.61e-70	0.97
chr11-7431	chr11	96849435	96850915	+	328.7	1480.000	8.000000	49.0	3.7	13.29	2.62e-37	0.97
chr11-825	chr11	98192565	98193610	+	328.7	1045.000	29.000000	49.0	0.7	66.44	2.61e-70	0.97
chr11-539	chr11	98927837	98929770	+	328.7	1933.000	32.000000	49.0	2.2	22.15	1.49e-47	0.80
chr11-8124	chr11	101301225	101302631	+	328.7	1406.000	7.000000	49.0	0.4	132.88	6.70e-85	0.97
chr11-7513	chr11	103131617	103133271	+	328.7	1654.000	8.000000	49.0	0.7	66.44	2.61e-70	0.97
chr11-9984	chr11	118417956	118419720	+	328.7	1764.000	5.000000	49.0	0.7	66.44	2.61e-70	1.01
chr11-5960	chr11	120377721	120379217	+	328.7	1496.000	11.000000	49.0	0.7	66.44	2.61e-70	0.94
chr11-413	chr11	120457714	120458871	+	328.7	1157.000	34.000000	49.0	0.4	132.88	6.70e-85	0.98
chr11-2864	chr11	120624360	120625542	+	328.7	1182.000	19.000000	49.0	0.4	132.88	6.70e-85	1.00
chr12-2699	chr12	26414316	26415390	+	328.7	1074.000	10.000000	49.0	0.7	66.44	2.61e-70	0.94
chr12-2722	chr12	44209011	44210494	+	328.7	1483.000	10.000000	49.0	0.7	66.44	2.61e-70	0.94
chr12-3508	chr12	53251984	53254284	+	328.7	2300.000	7.000000	49.0	0.4	132.88	6.70e-85	0.92
chr12-597	chr12	55820261	55821695	+	328.7	1434.000	25.000000	49.0	0.4	132.88	6.70e-85	1.05
chr12-4208	chr12	59010065	59012576	+	328.7	2511.000	5.000000	49.0	0.4	132.88	6.70e-85	0.98
chr12-2989	chr12	69167874	69169527	+	328.7	1653.000	9.000000	49.0	3.0	16.61	9.62e-42	0.98
chr12-975	chr12	72069904	72071483	+	328.7	1579.000	21.000000	49.0	3.0	16.61	9.62e-42	0.99
chr12-3069	chr12	98736475	98738598	+	328.7	2123.000	9.000000	49.0	2.2	22.15	1.49e-47	0.98
chr12-1267	chr12	110849944	110851209	+	328.7	1265.000	19.000000	49.0	0.7	66.44	2.61e-70	0.94
chr13-2920	chr13	24279941	24281642	+	328.7	1701.000	10.000000	49.0	0.7	66.44	2.61e-70	0.92
chr13-3247	chr13	41249084	41250907	+	328.7	1823.000	9.000000	49.0	0.4	132.88	6.70e-85	0.92
chr13-1693	chr13	54503333	54505162	+	328.7	1829.000	16.000000	49.0	2.2	22.15	1.49e-47	0.93
chr13-1707	chr13	55329221	55330871	+	328.7	1650.000	16.000000	49.0	1.5	33.22	7.24e-56	1.03
chr13-2125	chr13	95891008	95892801	+	328.7	1793.000	14.000000	49.0	3.0	16.61	9.62e-42	0.93
chr13-3734	chr13	106935640	106937499	+	328.7	1859.000	8.000000	49.0	1.5	33.22	7.24e-56	0.98
chr13-1304	chr13	117220459	117222415	+	328.7	1956.000	19.000000	49.0	0.7	66.44	2.61e-70	0.85
chr14-2771	chr14	29967737	29969671	+	328.7	1934.000	9.000000	49.0	0.4	132.88	6.70e-85	0.98
chr14-2842	chr14	57889212	57890508	+	328.7	1296.000	9.000000	49.0	0.4	132.88	6.70e-85	0.97
chr14-3724	chr14	63859394	63861268	+	328.7	1874.000	6.000000	49.0	0.4	132.88	6.70e-85	0.94
chr14-2001	chr14	65261438	65263106	+	328.7	1668.000	13.000000	49.0	0.4	132.88	6.70e-85	0.93
chr14-3737	chr14	66278727	66281474	+	328.7	2747.000	6.000000	49.0	1.5	33.22	7.24e-56	0.87
chr14-1378	chr14	99298486	99300073	+	328.7	1587.000	17.000000	49.0	0.7	66.44	2.61e-70	0.93
chr14-3191	chr14	118235070	118237433	+	328.7	2363.000	8.000000	49.0	1.5	33.22	7.24e-56	0.90
chr15-2136	chr15	43281756	43283058	+	328.7	1302.000	13.000000	49.0	1.5	33.22	7.24e-56	1.03
chr15-3704	chr15	57891478	57893275	+	328.7	1797.000	7.000000	49.0	0.4	132.88	6.70e-85	0.98
chr15-2152	chr15	64059570	64061004	+	328.7	1434.000	13.000000	49.0	0.4	132.88	6.70e-85	0.94
chr15-3761	chr15	76330562	76332692	+	328.7	2130.000	7.000000	49.0	0.7	66.44	2.61e-70	0.92
chr15-4601	chr15	79658120	79659817	+	328.7	1697.000	5.000000	49.0	0.4	132.88	6.70e-85	0.93
chr15-2889	chr15	79690060	79691929	+	328.7	1869.000	10.000000	49.0	1.5	33.22	7.24e-56	0.93
chr15-2647	chr15	82147080	82148676	+	328.7	1596.000	11.000000	49.0	0.4	132.88	6.70e-85	0.98
chr15-3893	chr15	98144642	98146096	+	328.7	1454.000	7.000000	49.0	2.2	22.15	1.49e-47	0.94
chr16-1725	chr16	13109366	13110812	+	328.7	1446.000	13.000000	49.0	0.4	132.88	6.70e-85	0.94
chr16-2246	chr16	20547988	20549705	+	328.7	1717.000	10.000000	49.0	0.7	66.44	2.61e-70	0.97
chr16-1790	chr16	33684198	33686333	+	328.7	2135.000	13.000000	49.0	0.4	132.88	6.70e-85	0.91
chr16-2125	chr16	44557490	44559212	+	328.7	1722.000	11.000000	49.0	1.5	33.22	7.24e-56	0.94
chr16-2144	chr16	56716242	56718407	+	328.7	2165.000	11.000000	49.0	0.4	132.88	6.70e-85	0.90
chr17-3849	chr17	28312915	28314631	+	328.7	1716.000	9.000000	49.0	2.2	22.15	1.49e-47	0.98
chr17-1726	chr17	33919444	33920887	+	328.7	1443.000	18.000000	49.0	0.7	66.44	2.61e-70	0.98
chr17-4994	chr17	34586338	34588312	+	328.7	1974.000	6.000000	49.0	1.5	33.22	7.24e-56	0.93
chr17-3934	chr17	44776644	44778198	+	328.7	1554.000	9.000000	49.0	2.2	22.15	1.49e-47	0.94
chr17-5556	chr17	46750883	46752991	+	328.7	2108.000	5.000000	49.0	2.2	22.15	1.49e-47	0.94
chr17-1808	chr17	71782477	71783775	+	328.7	1298.000	18.000000	49.0	0.7	66.44	2.61e-70	0.94
chr17-3427	chr17	94749205	94751019	+	328.7	1814.000	11.000000	49.0	0.4	132.88	6.70e-85	0.98
chr18-2694	chr18	12234744	12237210	+	328.7	2466.000	7.000000	49.0	0.4	132.88	6.70e-85	0.98
chr18-2505	chr18	35652223	35655503	+	328.7	3280.000	8.000000	49.0	3.7	13.29	2.62e-37	0.67
chr18-2108	chr18	36782298	36783937	+	328.7	1639.000	10.000000	49.0	3.0	16.61	9.62e-42	0.94
chr18-1756	chr18	37954183	37956109	+	328.7	1926.000	12.000000	49.0	0.7	66.44	2.61e-70	0.90
chr18-1130	chr18	46279885	46281159	+	328.7	1274.000	17.000000	49.0	1.5	33.22	7.24e-56	0.94
chr18-2564	chr18	51116986	51119069	+	328.7	2083.000	8.000000	49.0	1.5	33.22	7.24e-56	0.91
chr18-1578	chr18	80707505	80708903	+	328.7	1398.000	14.000000	49.0	0.7	66.44	2.61e-70	0.94
chr19-2067	chr19	3707802	3709216	+	328.7	1414.000	12.000000	49.0	1.5	33.22	7.24e-56	0.97
chr19-1445	chr19	7216628	7218089	+	328.7	1461.000	16.000000	49.0	0.4	132.88	6.70e-85	1.01
chr19-1926	chr19	7493897	7495537	+	328.7	1640.000	13.000000	49.0	0.7	66.44	2.61e-70	1.01
chr19-1449	chr19	8735278	8736602	+	328.7	1324.000	16.000000	49.0	0.7	66.44	2.61e-70	0.94
chr19-164	chr19	16780332	16781725	+	328.7	1393.000	32.000000	49.0	0.7	66.44	2.61e-70	0.89
chr19-3334	chr19	24223831	24225987	+	328.7	2156.000	7.000000	49.0	0.4	132.88	6.70e-85	0.98
chr19-4478	chr19	34746016	34747798	+	328.7	1782.000	4.000000	49.0	0.4	132.88	6.70e-85	0.98
chr19-2869	chr19	42170249	42171844	+	328.7	1595.000	9.000000	49.0	0.7	66.44	2.61e-70	0.97
chr19-2416	chr19	46151713	46153440	+	328.7	1727.000	11.000000	49.0	1.5	33.22	7.24e-56	0.98
chr19-2913	chr19	46961158	46962596	+	328.7	1438.000	9.000000	49.0	2.2	22.15	1.49e-47	0.97
chrX-1236	chrX	94540530	94542909	+	328.7	2379.000	9.000000	49.0	0.4	132.88	6.70e-85	0.91
chr1-6105	chr1	3670493	3672616	+	322.0	2123.000	5.000000	48.0	0.7	65.08	1.73e-68	0.93
chr1-5240	chr1	39192886	39194723	+	322.0	1837.000	7.000000	48.0	0.7	65.08	1.73e-68	0.93
chr1-3751	chr1	54925335	54926877	+	322.0	1542.000	11.000000	48.0	1.5	32.54	2.41e-54	0.94
chr1-146	chr1	66700893	66701935	+	322.0	1042.000	37.000000	48.0	0.7	65.08	1.73e-68	0.94
chr1-1110	chr1	71556750	71558131	+	322.0	1381.000	23.000000	48.0	1.5	32.54	2.41e-54	0.98
chr1-882	chr1	86586937	86587989	+	322.0	1052.000	25.000000	48.0	0.7	65.08	1.73e-68	0.94
chr1-5387	chr1	97975688	97977781	+	322.0	2093.000	7.000000	48.0	0.4	130.17	8.91e-83	0.93
chr1-5843	chr1	118321328	118322922	+	322.0	1594.000	6.000000	48.0	0.7	65.08	1.73e-68	0.94
chr1-3549	chr1	131827436	131828944	+	322.0	1508.000	12.000000	48.0	1.5	32.54	2.41e-54	0.98
chr1-3253	chr1	135429207	135430941	+	322.0	1734.000	13.000000	48.0	0.7	65.08	1.73e-68	0.94
chr1-1812	chr1	152386051	152387136	+	322.0	1085.000	19.000000	48.0	0.4	130.17	8.91e-83	0.97
chr1-3607	chr1	164248391	164250070	+	322.0	1679.000	12.000000	48.0	1.5	32.54	2.41e-54	0.94
chr1-5115	chr1	175624609	175625981	+	322.0	1372.000	8.000000	48.0	0.7	65.08	1.73e-68	0.94
chr2-3594	chr2	32259220	32260475	+	322.0	1255.000	15.000000	48.0	0.7	65.08	1.73e-68	0.94
chr2-3631	chr2	39189775	39191150	+	322.0	1375.000	15.000000	48.0	0.7	65.08	1.73e-68	0.94
chr2-8688	chr2	44926129	44928166	+	322.0	2037.000	5.000000	48.0	0.7	65.08	1.73e-68	0.75
chr2-7232	chr2	65021904	65023457	+	322.0	1553.000	7.000000	48.0	1.5	32.54	2.41e-54	0.94
chr2-6130	chr2	67564920	67566562	+	322.0	1642.000	9.000000	48.0	1.5	32.54	2.41e-54	1.02
chr2-2750	chr2	73311787	73313525	+	322.0	1738.000	18.000000	48.0	0.4	130.17	8.91e-83	0.91
chr2-2230	chr2	73774648	73776049	+	322.0	1401.000	20.000000	48.0	0.4	130.17	8.91e-83	0.92
chr2-6731	chr2	90846534	90848379	+	322.0	1845.000	8.000000	48.0	3.0	16.27	1.60e-40	0.98
chr2-107	chr2	101678506	101679570	+	322.0	1064.000	40.000000	48.0	0.4	130.17	8.91e-83	0.98
chr2-8053	chr2	102658065	102659811	+	322.0	1746.000	6.000000	48.0	0.4	130.17	8.91e-83	0.94
chr2-3759	chr2	130449841	130451187	+	322.0	1346.000	15.000000	48.0	2.2	21.69	3.31e-46	0.98
chr2-287	chr2	140066264	140067484	+	322.0	1220.000	35.000000	48.0	0.7	65.08	1.73e-68	0.92
chr2-4993	chr2	156196102	156198048	+	322.0	1946.000	12.000000	48.0	1.5	32.54	2.41e-54	0.94
chr2-5020	chr2	164745387	164747036	+	322.0	1649.000	12.000000	48.0	1.5	32.54	2.41e-54	0.94
chr3-4163	chr3	54692067	54693625	+	322.0	1558.000	8.000000	48.0	1.5	32.54	2.41e-54	0.97
chr3-2314	chr3	95903716	95906280	+	322.0	2564.000	15.000000	48.0	3.0	16.27	1.60e-40	1.00
chr3-1247	chr3	101923822	101925127	+	322.0	1305.000	21.000000	48.0	0.7	65.08	1.73e-68	0.97
chr3-4715	chr3	108561535	108563465	+	322.0	1930.000	7.000000	48.0	0.7	65.08	1.73e-68	0.92
chr4-1785	chr4	11006801	11008541	+	322.0	1740.000	20.000000	48.0	0.7	65.08	1.73e-68	0.87
chr4-1021	chr4	41712906	41714183	+	322.0	1277.000	25.000000	48.0	0.7	65.08	1.73e-68	0.94
chr4-4615	chr4	43957071	43958626	+	322.0	1555.000	10.000000	48.0	0.7	65.08	1.73e-68	0.93
chr4-4622	chr4	45319720	45320980	+	322.0	1260.000	10.000000	48.0	0.4	130.17	8.91e-83	0.94
chr4-1643	chr4	58552840	58554644	+	322.0	1804.000	21.000000	48.0	0.7	65.08	1.73e-68	0.92
chr4-4671	chr4	80910682	80912592	+	322.0	1910.000	10.000000	48.0	0.7	65.08	1.73e-68	0.94
chr4-1179	chr4	101264212	101265405	+	322.0	1193.000	24.000000	48.0	1.5	32.54	2.41e-54	0.94
chr4-4709	chr4	103118958	103120587	+	322.0	1629.000	10.000000	48.0	0.7	65.08	1.73e-68	0.94
chr4-5122	chr4	114999415	115001821	+	322.0	2406.000	9.000000	48.0	1.5	32.54	2.41e-54	0.94
